[1] ROUGE-1: 3.83	ROUGE-2: 3.59	ROUGE-L: 2.83
[2] ROUGE-1: 2.77	ROUGE-2: 2.65	ROUGE-L: 1.62
[3] ROUGE-1: 16.01	ROUGE-2: 15.87	ROUGE-L: 8.39
[4] ROUGE-1: 30.58	ROUGE-2: 23.69	ROUGE-L: 17.42
[5] ROUGE-1: 13.26	ROUGE-2: 11.63	ROUGE-L: 6.46
[6] ROUGE-1: 4.76	ROUGE-2: 4.64	ROUGE-L: 2.95
[7] ROUGE-1: 25.18	ROUGE-2: 22.56	ROUGE-L: 12.99
[8] ROUGE-1: 29.77	ROUGE-2: 25.39	ROUGE-L: 24.80
[9] ROUGE-1: 3.95	ROUGE-2: 3.42	ROUGE-L: 2.39
[10] ROUGE-1: 7.37	ROUGE-2: 4.77	ROUGE-L: 4.76
[11] ROUGE-1: 2.95	ROUGE-2: 2.20	ROUGE-L: 2.07
[12] ROUGE-1: 2.75	ROUGE-2: 2.67	ROUGE-L: 1.75
[13] ROUGE-1: 6.76	ROUGE-2: 6.61	ROUGE-L: 3.77
[14] ROUGE-1: 2.07	ROUGE-2: 1.58	ROUGE-L: 1.42
[15] ROUGE-1: 18.27	ROUGE-2: 14.34	ROUGE-L: 10.77
[16] ROUGE-1: 2.82	ROUGE-2: 2.07	ROUGE-L: 1.90
[17] ROUGE-1: 3.94	ROUGE-2: 3.22	ROUGE-L: 2.47
[18] ROUGE-1: 2.12	ROUGE-2: 1.88	ROUGE-L: 1.42
[19] ROUGE-1: 3.43	ROUGE-2: 3.10	ROUGE-L: 2.27
[20] ROUGE-1: 8.41	ROUGE-2: 7.93	ROUGE-L: 4.23
[21] ROUGE-1: 19.53	ROUGE-2: 16.29	ROUGE-L: 10.55
[22] ROUGE-1: 75.59	ROUGE-2: 74.19	ROUGE-L: 49.24
[23] ROUGE-1: 18.97	ROUGE-2: 15.52	ROUGE-L: 12.77
